Country Name ,Before the Games,Day 1,Day 2 ,Day 3,Day 4 ,Day 5 ,Day 6 ,Day 7 ,Day 8 ,day 9,day 10,Day 11 ,day 12,day 13,day 14 ,day 15 ,day 16 ,overall total
Albania,0,,,,,,,,1,,,,,,,,1,2
Algeria,0,,,,,,,,,1,,,,,1,1,,3
Argentina,0,,,,,1,,,,,,,,,2,,,3
Armenia,0,,,,,,,,,1,,,2,,,1,,4
Australia,0,5,1,3,2,5,2,4,5,4,2,2,6,4,3,2,3,53
Austria,0,,,,,1,,,,,,,,1,2,1,,5
Azerbaijan,0,,,1,,,1,,,,,,1,1,1,1,1,7
Bahrain,0,,,,,,,,,,,1,,,1,1,1,4
Belgium,0,2,,,,1,,,1,1,,,,1,3,1,,10
Botswana,0,,,,,,,,,,,,,1,,,1,2
Brazil,0,0,3,,1,,2,1,3,,3,,1,1,2,3,,20
Bulgaria,0,,,,,,,,,,,,,4,3,,,7
Canada,0,1,1,3,1,1,1,3,4,2,,1,1,2,2,4,,27
Cape Verde,0,,,,,,,,,1,,,,,,,,1
Chile,0,,,,,,,,,1,,1,,,,,,2
Chinese Taipei,0,,,,,,,,2,1,1,1,,1,,1,,7
Colombia,0,,,,,,,,,,1,,,,2,,1,4
Côte d'Ivoire,0,,,,,,,,,,,,,,,1,,1
Croatia,0,,,1,,1,,1,1,,1,,1,,,,1,7
Cuba,0,,,,,,,,,1,,1,3,1,,2,1,9
Cyprus,0,,,,,,,,,,,,1,,,,,1
Czechia,0,,,,,,,2,,,,,,,1,2,,5
North Korea,0,,,,1,1,,,,1,,2,,1,,,,6
Denmark,0,,,,,,,,1,,1,,1,1,1,3,1,9
Dominica,0,,,,,,,,1,,,,,,,,,1
Dominican Republic,0,,,,,,,,,2,,,,,1,,,3
Ecuador,0,,,,,,1,,,,,,,2,1,1,,5
Egypt,0,,1,,,,,,,,,,,,,2,,3
EOR,0,,,,,,,,,,,,,1,,,,1
Ethiopia,0,,,,,,,1,,,1,,,,,1,1,4
Fiji,0,1,,,,,,,,,,,,,,,,1
France,0,4,4,8,2,8,1,9,5,3,4,,3,4,1,6,2,64
Georgia,0,,,,1,1,1,,,1,,,,,,2,2,8
Germany,0,1,,1,,4,,1,3,2,4,1,1,4,7,2,2,33
United Kingdom,0,2,2,6,2,5,3,7,6,4,5,4,3,2,6,6,2,65
Greece,0,,,,,1,1,2,,1,1,1,,,1,,,8
Grenada,0,,,,,,,,,1,,,,,,1,,2
Guatemala,0,,,,1,1,,,,,,,,,,,,2
"Hong Kong, China",0,1,,2,,1,,,,,,,,,,,,4
